county_name,population,median_income,uninsured_est,hpsa_count,avg_hpsa_score
Adams,105183,81071,1380,0.0,
Allegheny,1240476,76393,6239,58.0,12.448275862068966
Armstrong,65069,64295,377,2.0,16.0
Beaver,166993,70156,705,2.0,15.0
Bedford,47503,60302,807,66.0,13.257575757575758
Berks,429989,77684,5050,30.0,16.166666666666668
Blair,121854,60594,1546,2.0,13.0
Bradford,59971,62482,846,32.0,12.5
Bucks,645993,111951,2611,0.0,
Butler,195870,86775,790,6.0,16.0
Cambria,132355,56292,497,4.0,11.75
Cameron,4475,47681,2,2.0,16.0
Carbon,65191,67877,490,0.0,
Centre,158041,72748,2425,15.0,8.6
Chester,540896,123041,5376,2.0,14.5
Clarion,37297,60668,649,6.0,16.0
Clearfield,78902,60181,1098,62.0,13.806451612903226
Clinton,37707,58842,1090,8.0,13.0
Columbia,65055,61992,683,0.0,
Crawford,83189,60254,2016,42.0,10.761904761904763
Cumberland,264422,85634,3242,2.0,7.5
Dauphin,287484,74159,4458,1.0,17.0
Delaware,576195,88576,4642,25.0,13.68
Elk,30703,64103,34,0.0,
Erie,269544,61476,1262,20.0,11.0
Fayette,126967,56093,745,6.0,9.333333333333334
Forest,6785,50061,4,8.0,13.125
Franklin,156626,74946,4309,3.0,11.333333333333334
Fulton,14545,64798,160,2.0,15.0
Greene,35265,66870,156,2.0,8.0
Huntingdon,43844,65429,459,14.0,13.0
Indiana,83213,58739,1713,2.0,8.5
Jefferson,44099,56898,1302,2.0,14.5
Juniata,23419,63923,1487,1.0,8.0
Lackawanna,215834,64691,1361,2.0,9.5
Lancaster,555151,83703,20947,1.0,15.0
Lawrence,85423,60779,741,0.0,
Lebanon,143592,76350,4318,0.0,
Lehigh,375408,77493,2855,2.0,8.5
Luzerne,325978,62321,2700,4.0,7.5
Lycoming,113570,64412,1512,13.0,12.384615384615385
McKean,40149,61705,272,28.0,11.535714285714286
Mercer,109852,60614,1743,6.0,8.666666666666666
Mifflin,46074,61415,2475,0.0,
Monroe,167784,82374,2127,0.0,
Montgomery,861225,111521,6000,1.0,3.0
Montour,18079,72926,254,0.0,
Northampton,315927,86687,1691,0.0,
Northumberland,90925,57948,966,2.0,6.0
Perry,45988,78824,1561,0.0,
Philadelphia,1582432,60698,16380,14.0,11.0
Pike,59691,79318,471,0.0,
Potter,16276,59840,285,64.0,11.140625
Schuylkill,143259,66901,1836,3.0,7.0
Snyder,39711,68435,1641,0.0,
Somerset,73255,59378,924,34.0,11.352941176470589
Sullivan,5849,64758,17,2.0,12.5
Susquehanna,38349,66930,348,6.0,15.666666666666666
Tioga,41078,62932,334,47.0,10.48936170212766
Union,42570,72894,1261,2.0,12.0
Venango,50096,61626,299,38.0,12.421052631578947
Warren,38174,59013,367,50.0,12.04
Washington,209778,77487,873,18.0,10.055555555555555
Wayne,51189,62182,289,2.0,12.0
Westmoreland,353345,72468,1186,5.0,11.4
Wyoming,26075,70268,78,0.0,
York,459312,82238,3380,1.0,13.0
