NAME,B01003_001E,B19013_001E,B27010_017E,state,county
"Adams County, Pennsylvania",105183,81071,1380,42,001
"Allegheny County, Pennsylvania",1240476,76393,6239,42,003
"Armstrong County, Pennsylvania",65069,64295,377,42,005
"Beaver County, Pennsylvania",166993,70156,705,42,007
"Bedford County, Pennsylvania",47503,60302,807,42,009
"Berks County, Pennsylvania",429989,77684,5050,42,011
"Blair County, Pennsylvania",121854,60594,1546,42,013
"Bradford County, Pennsylvania",59971,62482,846,42,015
"Bucks County, Pennsylvania",645993,111951,2611,42,017
"Butler County, Pennsylvania",195870,86775,790,42,019
"Cambria County, Pennsylvania",132355,56292,497,42,021
"Cameron County, Pennsylvania",4475,47681,2,42,023
"Carbon County, Pennsylvania",65191,67877,490,42,025
"Centre County, Pennsylvania",158041,72748,2425,42,027
"Chester County, Pennsylvania",540896,123041,5376,42,029
"Clarion County, Pennsylvania",37297,60668,649,42,031
"Clearfield County, Pennsylvania",78902,60181,1098,42,033
"Clinton County, Pennsylvania",37707,58842,1090,42,035
"Columbia County, Pennsylvania",65055,61992,683,42,037
"Crawford County, Pennsylvania",83189,60254,2016,42,039
"Cumberland County, Pennsylvania",264422,85634,3242,42,041
"Dauphin County, Pennsylvania",287484,74159,4458,42,043
"Delaware County, Pennsylvania",576195,88576,4642,42,045
"Elk County, Pennsylvania",30703,64103,34,42,047
"Erie County, Pennsylvania",269544,61476,1262,42,049
"Fayette County, Pennsylvania",126967,56093,745,42,051
"Forest County, Pennsylvania",6785,50061,4,42,053
"Franklin County, Pennsylvania",156626,74946,4309,42,055
"Fulton County, Pennsylvania",14545,64798,160,42,057
"Greene County, Pennsylvania",35265,66870,156,42,059
"Huntingdon County, Pennsylvania",43844,65429,459,42,061
"Indiana County, Pennsylvania",83213,58739,1713,42,063
"Jefferson County, Pennsylvania",44099,56898,1302,42,065
"Juniata County, Pennsylvania",23419,63923,1487,42,067
"Lackawanna County, Pennsylvania",215834,64691,1361,42,069
"Lancaster County, Pennsylvania",555151,83703,20947,42,071
"Lawrence County, Pennsylvania",85423,60779,741,42,073
"Lebanon County, Pennsylvania",143592,76350,4318,42,075
"Lehigh County, Pennsylvania",375408,77493,2855,42,077
"Luzerne County, Pennsylvania",325978,62321,2700,42,079
"Lycoming County, Pennsylvania",113570,64412,1512,42,081
"McKean County, Pennsylvania",40149,61705,272,42,083
"Mercer County, Pennsylvania",109852,60614,1743,42,085
"Mifflin County, Pennsylvania",46074,61415,2475,42,087
"Monroe County, Pennsylvania",167784,82374,2127,42,089
"Montgomery County, Pennsylvania",861225,111521,6000,42,091
"Montour County, Pennsylvania",18079,72926,254,42,093
"Northampton County, Pennsylvania",315927,86687,1691,42,095
"Northumberland County, Pennsylvania",90925,57948,966,42,097
"Perry County, Pennsylvania",45988,78824,1561,42,099
"Philadelphia County, Pennsylvania",1582432,60698,16380,42,101
"Pike County, Pennsylvania",59691,79318,471,42,103
"Potter County, Pennsylvania",16276,59840,285,42,105
"Schuylkill County, Pennsylvania",143259,66901,1836,42,107
"Snyder County, Pennsylvania",39711,68435,1641,42,109
"Somerset County, Pennsylvania",73255,59378,924,42,111
"Sullivan County, Pennsylvania",5849,64758,17,42,113
"Susquehanna County, Pennsylvania",38349,66930,348,42,115
"Tioga County, Pennsylvania",41078,62932,334,42,117
"Union County, Pennsylvania",42570,72894,1261,42,119
"Venango County, Pennsylvania",50096,61626,299,42,121
"Warren County, Pennsylvania",38174,59013,367,42,123
"Washington County, Pennsylvania",209778,77487,873,42,125
"Wayne County, Pennsylvania",51189,62182,289,42,127
"Westmoreland County, Pennsylvania",353345,72468,1186,42,129
"Wyoming County, Pennsylvania",26075,70268,78,42,131
"York County, Pennsylvania",459312,82238,3380,42,133
